"Story","Title","Result","Date","Stability","Duration (s)"
"Login","POST - As an admin i have to be able to login","SUCCESS","2022-05-17T17:18:16.6436042+07:00[Asia/Bangkok]","0.0","6.81"
"Register","POST - As an admin I have to be able to register new account","SUCCESS","2022-05-17T17:18:16.657633+07:00[Asia/Bangkok]","0.0","6.08"
"categories","GET - As an admin I have to be able to get all categories","SUCCESS","2022-05-17T17:18:16.4730607+07:00[Asia/Bangkok]","0.0","4.03"
"categories","POST - As an admin I have to be able to create a new category","SUCCESS","2022-05-17T17:18:20.5174095+07:00[Asia/Bangkok]","0.0","1.08"
"Comment","GET - As an admin I have to be able to get comment of the product","SUCCESS","2022-05-17T17:18:16.5448682+07:00[Asia/Bangkok]","0.0","3.88"
"Comment","As an admin I have to be able to give a comment to the product","SUCCESS","2022-05-17T17:18:20.4595657+07:00[Asia/Bangkok]","0.0","1.74"
"Products","GET - As an Admin I have to be able to get all products","SUCCESS","2022-05-17T17:18:16.6136844+07:00[Asia/Bangkok]","0.0","4.23"
"Products","GET - As an Admin I have to be able to get a product by id","SUCCESS","2022-05-17T17:18:20.854508+07:00[Asia/Bangkok]","0.0","0.96"
"Products","POST - As an Admin I have to be able to create a new product","SUCCESS","2022-05-17T17:18:21.9396069+07:00[Asia/Bangkok]","0.0","0.57"
"Rating","As an admin I have to be able to get rating of the product","SUCCESS","2022-05-17T17:18:16.6206796+07:00[Asia/Bangkok]","0.0","4.64"
"Rating","As an admin I have to be able to give a rating to the product","SUCCESS","2022-05-17T17:18:21.3152761+07:00[Asia/Bangkok]","0.0","2.78"
"Transactions","GET - As an admin I have to be able to get all transactions","SUCCESS","2022-05-17T17:18:16.6715599+07:00[Asia/Bangkok]","0.0","5.02"
